Temperature;1;2;3;4;5;6;7;8
80,6;86,83673734;86,84857264;87,04768079;86,93278162;86,94527097;87,12178114;86,88740143;86,9509953
80,61;86,79311218;86,8052943;87,00471253;86,88872429;86,90114645;87,07768464;86,84345957;86,90703887
80,62;86,74947456;86,76192897;86,96171874;86,84477508;86,85680047;87,03379182;86,79954708;86,86278566
80,63;86,7058245;86,71847666;86,91869942;86,80093399;86,81223304;86,99010268;86,75566397;86,81823566
80,64;86,66203125;86,67478826;86,87541195;86,75696451;86,76745108;86,94632625;86,71147968;86,77338886
80,65;86,61853682;86,63128625;86,83187548;86,71277203;86,72275216;86,90252799;86,66727335;86,72861235
80,66;86,57543456;86,58816942;86,78846032;86,66857955;86,67819858;86,858737;86,62328741;86,68409357
80,67;86,53212065;86,54485378;86,74499409;86,62433303;86,63353428;86,81477144;86,57933086;86,6394186
80,68;86,48859509;86,50133935;86,70147678;86,58003245;86,58875926;86,77063131;86,53540369;86,59458743
80,69;86,44478318;86,45733411;86,65761468;86,53569809;86,54381124;86,72626568;86,49113128;86,54910799
80,7;86,40095259;86,4131425;86,61363766;86,49134347;86,49884244;86,68196551;86,4467046;86,5033708
80,71;86,35706599;86,36925531;86,56989049;86,44702939;86,4540674;86,63801452;86,40235138;86,45782107
80,72;86,31310469;86,32543023;86,52630932;86,40289099;86,40938925;86,59409262;86,35774839;86,41230259
80,73;86,26906869;86,28166727;86,48289415;86,35892829;86,36480799;86,55019981;86,31289564;86,36681535
80,74;86,22480859;86,23734516;86,43935767;86,31487773;86,319943;86,50561594;86,26754338;86,32112505
80,75;86,18015629;86,19281803;86,39578289;86,27052309;86,2748704;86,46053014;86,22210299;86,27557534
80,76;86,13552267;86,14852077;86,3522911;86,22595222;86,22968016;86,41567711;86,17694175;86,23027557
80,77;86,09124387;86,1043602;86,30869078;86,18136784;86,1846214;86,37125326;86,13199351;86,18499142
80,78;86,0473199;86,06033633;86,26498192;86,13676994;86,13969412;86,3272586;86,0872583;86,13972288
80,79;86,00296017;86,01609501;86,22111983;86,09208419;86,09452464;86,28284203;86,04226598;86,09423566
80,8;85,95816468;85,97163624;86,17710451;86,0473106;86,04911296;86,23800357;85,99701656;86,04852973
80,81;85,9134937;85,92714019;86,13305087;86,00234781;86,00334141;86,19304872;85,95169368;86,00291753
80,82;85,86897213;85,88254474;86,08880571;85,95734446;85,95741762;86,14810841;85,90644427;85,95721159
80,83;85,82459997;85,83784988;86,04436901;85,91230057;85,91134157;86,10318265;85,86126833;85,91141193
80,84;85,77989166;85,7928568;85,99939602;85,86670936;85,86508559;86,05803139;85,81571776;85,8651827
80,85;85,73482851;85,74767732;85,95421233;85,82105732;85,81918255;86,01272739;85,77001292;85,81878946
80,86;85,68968444;85,70246058;85,90917548;85,77587828;85,77382622;85,96749613;85,72463129;85,77242747
80,87;85,64487028;85,65735567;85,86432378;85,73076681;85,7284353;85,92246854;85,67941861;85,72623732
80,88;85,60038605;85,61236259;85,81965723;85,68572292;85,68300977;85,87764463;85,6343749;85,68021899
80,89;85,55553454;85,56717069;85,77463953;85,64021954;85,63707906;85,83236971;85,58898593;85,63405226
80,9;85,51031575;85,52177997;85,72927066;85,59425666;85,59064315;85,78664377;85,54325172;85,58773713
80,91;85,46473591;85,47643895;85,68369749;85,54802349;85,54412419;85,74077235;85,49750282;85,54131263
80,92;85,41908139;85,43102338;85,63823924;85,50164168;85,49745299;85,69466816;85,45143072;85,4947007
80,93;85,37335218;85,38553327;85,59289591;85,45511121;85,45062953;85,6483312;85,40503541;85,44790131
80,94;85,3276541;85,33955235;85,5472525;85,40836449;85,40337701;85,60141231;85,35803041;85,4005474
80,95;85,28223613;85,2934596;85,5013601;85,36194212;85,35649819;85,55490804;85,31113559;85,35328722
80,96;85,23690531;85,24757188;85,45573585;85,315763;85,30996537;85,50922575;85,26462274;85,30645659
80,97;85,1914562;85,20166552;85,41024567;85,26966498;85,26328031;85,46340527;85,21798502;85,25954007
80,98;85,14588881;85,15574052;85,36488958;85,22364804;85,21644301;85,41744659;85,17122243;85,21253765
80,99;85,10004129;85,10959186;85,31915042;85,17746216;85,16939809;85,37113873;85,12426149;85,16512908
81;85,05391365;85,06321953;85,27302819;85,13110735;85,12214557;85,32448171;85,07710221;85,11731437
81,01;85,00767397;85,0168472;85,22686765;85,08486067;85,07494842;85,27781012;85,03004576;85,06956215
81,02;84,9612849;84,97054942;85,18068158;85,03826262;85,02755748;85,23077482;84,98285709;85,0217162
81,03;84,91474643;84,92432618;85,13446996;84,9913132;84,97997277;85,18337581;84,9355362;84,97377654
81,04;84,86796518;84,87769291;85,08792634;84,94337047;84,9317237;85,13573675;84,88778193;84,92553227
81,05;84,82107188;84,8305937;85,04105711;84,89514393;84,88308015;85,08835957;84,84022598;84,87731144
81,06;84,77414745;84,78346342;84,9940538;84,84724849;84,83447121;85,04113515;84,79308139;84,82919994
81,07;84,7273413;84,73643254;84,94689726;84,79960307;84,78627059;84,99367067;84,74601762;84,78126809
81,08;84,68065343;84,68950105;84,89958749;84,75220769;84,73847828;84,94596613;84,69903466;84,73351587
81,09;84,63366052;84,64214711;84,85215641;84,70454876;84,69017387;84,89802154;84,65169177;84,68556839
81,1;84,58636259;84,5943707;84,80460403;84,6566263;84,64135734;84,8498369;84,60398893;84,63742564
81,11;84,53885299;84,54653217;84,75694948;84,60864976;84,59241624;84,80163772;84,55618326;84,58887674
81,12;84,4912438;84,49885517;84,70900126;84,56063268;84,54354434;84,75336579;84,50830412;84,53990609
81,13;84,443535;84,4513397;84,66075934;84,51257506;84,49474164;84,70502112;84,46035151;84,49051367
81,14;84,39537179;84,40360678;84,61220459;84,46418633;84,44574517;84,65618181;84,4118039;84,44081666
81,15;84,34689109;84,35553838;84,56364984;84,41553407;84,39652032;84,60703698;84,36279351;84,39137741
81,16;84,2985847;84,30735193;84,51510147;84,36686829;84,34712246;84,55795035;84,31373905;84,34201627
81,17;84,25029075;84,25906607;84,46634879;84,31820251;84,29771077;84,50882009;84,26453766;84,29231147
81,18;84,20200925;84,21068079;84,41739181;84,26953673;84,24828523;84,45964618;84,21518936;84,24226301
81,19;84,1533418;84,16199731;84,3683199;84,22045877;84,19856213;84,40980305;84,16507711;84,19176936
81,2;84,10445024;84,11318336;84,31924799;84,17101593;84,14844457;84,35952347;84,11470041;84,14092427
81,21;84,05568318;84,06453717;84,27013778;84,12160687;84,09839621;84,30947665;84,06480853;84,09011041
81,22;84,00689123;84,01581641;84,22079772;84,07204914;84,04819561;84,2592116;84,01497541;84,03932777
81,23;83,95807438;83,9670211;84,17122783;84,02234275;83,99784275;84,20872832;83,96520106;83,98857636
81,24;83,90892138;83,91783437;84,12115993;83,9723931;83,94708158;84,15742306;83,91497862;83,93749692
81,25;83,85973102;83,86834943;84,07084302;83,92240291;83,89638271;84,10616143;83,86460194;83,88627689
81,26;83,81071496;83,81877129;84,02068572;83,87249381;83,84589144;84,05563449;83,81454847;83,83529118
81,27;83,76164909;83,76926771;83,97087957;83,82262524;83,79535865;84,0052094;83,76448765;83,78456321
81,28;83,71253342;83,71983869;83,92142457;83,7727972;83,74478432;83,95488615;83,71441947;83,73409297
81,29;83,66297578;83,67003068;83,87136942;83,72269212;83,69361483;83,90390821;83,66421174;83,68327909
81,3;83,61297617;83,6198437;83,82071412;83,67230999;83,64185019;83,8522756;83,61386444;83,63212156
81,31;83,56292676;83,56990521;83,76988006;83,62171163;83,59000251;83,80035202;83,56354652;83,58069849
81,32;83,51282754;83,51992945;83,71908431;83,57081596;83,53818251;83,74837025;83,51318454;83,52924417
81,33;83,46267852;83,46991642;83,66832687;83,51962299;83,48639018;83,69633028;83,4627785;83,47775861
81,34;83,41193811;83,41940635;83,61712889;83,46813269;83,43436256;83,6439557;83,41191702;83,42602311
81,35;83,36093626;83,36861672;83,56533714;83,41652075;83,38225192;83,59138472;83,36081312;83,373819
81,36;83,31022698;83,31780846;83,51327724;83,36494933;83,33022431;83,5389374;83,3098488;83,32136497
81,37;83,25953016;83,26687593;83,46108964;83,31332386;83,2779891;83,48651917;83,25873755;83,26881721
